idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type,ambiguity,question_type
1,Katherine spotted Mary and she waved. The answer to the question: Who waved? is,Mary,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
1,Katherine spotted Mary and she waved. The answer to the question: Who waved? is,Katherine,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
2,Sherlock spotted the man and he frowned. The answer to the question: Who frowned? is,the man,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
2,Sherlock spotted the man and he frowned. The answer to the question: Who frowned? is,Sherlock,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
3,the boy spied Galileo and he smiled. The answer to the question: Who smiled? is,Galileo,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
3,the boy spied Galileo and he smiled. The answer to the question: Who smiled? is,the boy,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
4,the boy spied Sherlock and he smiled. The answer to the question: Who smiled? is,Sherlock,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
4,the boy spied Sherlock and he smiled. The answer to the question: Who smiled? is,the boy,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
5,Katherine observed Ada and she waved. The answer to the question: Who waved? is,Ada,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
5,Katherine observed Ada and she waved. The answer to the question: Who waved? is,Katherine,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
6,Adele spotted Ada and she lept. The answer to the question: Who lept? is,Ada,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
6,Adele spotted Ada and she lept. The answer to the question: Who lept? is,Adele,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
7,the girl observed the woman and she frowned. The answer to the question: Who frowned? is,the woman,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
7,the girl observed the woman and she frowned. The answer to the question: Who frowned? is,the girl,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
8,Galileo spotted Bill and he waved. The answer to the question: Who waved? is,Bill,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
8,Galileo spotted Bill and he waved. The answer to the question: Who waved? is,Galileo,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
9,Mary spotted Adele and she smiled. The answer to the question: Who smiled? is,Adele,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
9,Mary spotted Adele and she smiled. The answer to the question: Who smiled? is,Mary,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
10,Katherine spied Marie and she frowned. The answer to the question: Who frowned? is,Marie,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
10,Katherine spied Marie and she frowned. The answer to the question: Who frowned? is,Katherine,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
11,Sherlock saw Alan and he frowned. The answer to the question: Who frowned? is,Alan,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
11,Sherlock saw Alan and he frowned. The answer to the question: Who frowned? is,Sherlock,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
12,Adele spotted Marie and she shouted. The answer to the question: Who shouted? is,Marie,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
12,Adele spotted Marie and she shouted. The answer to the question: Who shouted? is,Adele,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
13,Ada saw Adele and she frowned. The answer to the question: Who frowned? is,Adele,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
13,Ada saw Adele and she frowned. The answer to the question: Who frowned? is,Ada,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
14,Adele observed Marie and she smiled. The answer to the question: Who smiled? is,Marie,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
14,Adele observed Marie and she smiled. The answer to the question: Who smiled? is,Adele,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
15,the girl spotted Katherine and she lept. The answer to the question: Who lept? is,Katherine,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
15,the girl spotted Katherine and she lept. The answer to the question: Who lept? is,the girl,S,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
16,Galileo saw Watson and he smiled. The answer to the question: Who smiled? is,Watson,S,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,ambi,bound
